Age,DPT,Treatment,Tissue,Individual,Replicate,Cq_Gap8,Cq_Tel1b
140,100,WTR,muscle,1,1,23.45720635,5.31796707
140,100,WTR,muscle,1,2,23.54167721,5.69626285
140,100,WTR,muscle,1,3,23.10319418,5.38308774
140,100,WTR,muscle,2,1,22.2451325,5.09478999
140,100,WTR,muscle,2,2,22.49252724,5.35634489
140,100,WTR,muscle,2,3,23.24814729,5.45258651
140,100,WTR,muscle,3,1,22.29803916,4.36643437
140,100,WTR,muscle,3,2,22.08786119,4.85909682
140,100,WTR,muscle,3,3,22.46586982,4.46323824
188,148,WTR,muscle,1,1,22.81064101,5.73765217
188,148,WTR,muscle,1,2,23.12740567,5.66001887
188,148,WTR,muscle,1,3,23.89671512,5.51044595
188,148,WTR,muscle,2,1,21.15508686,4.03106133
188,148,WTR,muscle,2,2,21.46902444,4.23945802
188,148,WTR,muscle,2,3,21.66801947,4.59425331
188,148,WTR,muscle,3,1,22.05191658,3.96911355
188,148,WTR,muscle,3,2,21.27394888,4.27346975
188,148,WTR,muscle,3,3,21.04990555,4.1359683
86,46,RTR,muscle,1,1,21.12792353,6.12187725
86,46,RTR,muscle,1,2,21.12287202,6.11264502
86,46,RTR,muscle,1,3,21.49164618,6.00212316
86,46,RTR,muscle,2,1,23.18246657,6.5964701
86,46,RTR,muscle,2,2,22.37738755,6.41402232
86,46,RTR,muscle,2,3,21.57430818,5.81736583
86,46,RTR,muscle,3,1,21.08366218,5.57192374
86,46,RTR,muscle,3,2,21.22369976,5.73716664
86,46,RTR,muscle,3,3,20.98480767,6.19626332
140,100,RTR,muscle,1,1,21.94087034,4.24268587
140,100,RTR,muscle,1,2,22.09287222,4.05578436
140,100,RTR,muscle,1,3,22.5497536,4.89217066
140,100,RTR,muscle,2,1,23.18885603,5.96489853
140,100,RTR,muscle,2,2,23.46981399,5.85554865
140,100,RTR,muscle,2,3,23.93149732,5.46336591
140,100,RTR,muscle,3,1,21.96257726,4.20228917
140,100,RTR,muscle,3,2,22.15442416,4.29127117
140,100,RTR,muscle,3,3,22.25711744,4.26645939
188,148,RTR,muscle,1,1,22.52239091,5.35743879
188,148,RTR,muscle,1,2,22.26385106,5.2752471
188,148,RTR,muscle,1,3,22.40680505,5.03563373
188,148,RTR,muscle,2,1,22.53856542,5.1319985
188,148,RTR,muscle,2,2,22.35350385,5.44739468
188,148,RTR,muscle,2,3,22.44926856,5.1731602
188,148,RTR,muscle,3,1,21.78229697,4.66605997
188,148,RTR,muscle,3,2,22.2869038,4.74543386
188,148,RTR,muscle,3,3,21.98987579,5.0104354
